month,year,day_of_year,revisit_gap_hours
5,2021,129,120.00055555555556
5,2021,129,0.0
5,2021,134,119.99944444444444
5,2021,134,0.0
5,2021,139,120.00055555555556
5,2021,139,0.0
5,2021,144,119.99944444444444
5,2021,144,0.0
5,2021,149,120.00055555555556
5,2021,149,0.0
6,2021,154,119.99944444444444
6,2021,154,0.0
6,2021,159,120.00055555555556
6,2021,159,0.0
6,2021,164,119.99944444444444
6,2021,164,0.0
6,2021,169,120.00055555555556
6,2021,169,0.0
6,2021,174,119.99944444444444
6,2021,174,0.0
6,2021,179,120.00055555555556
6,2021,179,0.0
7,2021,184,119.99944444444444
7,2021,184,0.0
7,2021,189,120.00055555555556
7,2021,189,0.0
7,2021,194,119.99944444444444
7,2021,194,0.0
7,2021,199,120.00055555555556
7,2021,199,0.0
7,2021,204,119.99944444444444
7,2021,204,0.0
7,2021,209,120.00055555555556
7,2021,209,0.0
8,2021,214,119.99944444444444
8,2021,214,0.0
8,2021,219,120.00055555555556
8,2021,219,0.0
8,2021,224,119.99944444444444
8,2021,224,0.0
8,2021,229,120.00055555555556
8,2021,229,0.0
8,2021,234,119.99944444444444
8,2021,234,0.0
8,2021,239,120.00055555555556
8,2021,239,0.0
9,2021,244,119.99944444444444
9,2021,244,0.0
9,2021,249,120.00055555555556
9,2021,249,0.0
9,2021,254,119.99944444444444
9,2021,254,0.0
9,2021,259,120.01444444444444
9,2021,259,0.0
9,2021,264,119.99388888888888
9,2021,264,0.0
9,2021,269,120.02555555555556
9,2021,269,0.0
10,2021,274,119.99388888888888
10,2021,274,0.0
10,2021,279,120.02833333333334
10,2021,279,0.0
10,2021,284,119.99111111111112
10,2021,284,0.0
11,2021,309,600.0588888888889
11,2021,309,0.0
11,2021,314,120.00777777777778
11,2021,314,0.0
11,2021,319,120.00611111111112
11,2021,319,0.0
11,2021,324,120.005
11,2021,324,0.0
11,2021,324,0.0
11,2021,324,0.0
11,2021,329,120.00611111111112
11,2021,329,0.0
11,2021,334,120.00222222222222
11,2021,334,0.0
12,2021,339,120.00611111111112
12,2021,339,0.0
12,2021,344,119.99944444444444
12,2021,344,0.0
12,2021,349,120.00333333333332
12,2021,349,0.0
12,2021,354,119.99944444444444
12,2021,354,0.0
12,2021,359,120.00333333333332
12,2021,359,0.0
12,2021,364,119.99666666666668
12,2021,364,0.0
1,2022,4,120.00055555555556
1,2022,4,0.0
1,2022,9,119.99388888888888
1,2022,9,0.0
1,2022,14,119.99777777777778
1,2022,14,0.0
1,2022,19,119.99388888888888
1,2022,19,0.0
1,2022,24,119.995
1,2022,24,0.0
1,2022,29,119.99111111111112
1,2022,29,0.0
2,2022,34,119.995
2,2022,34,0.0
2,2022,34,0.0
2,2022,34,0.0
2,2022,39,119.99111111111112
2,2022,39,0.0
2,2022,44,119.99222222222222
2,2022,44,0.0
2,2022,49,119.98833333333332
2,2022,49,0.0
2,2022,49,0.0
2,2022,49,0.0
2,2022,54,119.995
2,2022,54,0.0
2,2022,59,119.97166666666666
2,2022,59,0.0
3,2022,64,120.00888888888888
3,2022,64,0.0
3,2022,64,0.0
3,2022,64,0.0
3,2022,69,119.97166666666666
3,2022,69,0.0
3,2022,69,0.0
3,2022,69,0.0
3,2022,74,120.00611111111112
3,2022,74,0.0
3,2022,74,0.0
3,2022,74,0.0
3,2022,79,119.97444444444444
3,2022,79,0.0
3,2022,84,120.00611111111112
3,2022,84,0.0
3,2022,89,119.98555555555556
3,2022,89,0.0
3,2022,89,0.0
