cloud_cover,month,year,day_of_year,revisit_gap_hours
12.033153,3,2022,74,0.0
0.001297,3,2022,74,0.0
25.941277,3,2022,79,119.97444444444444
4.839883,3,2022,79,0.0
0.886201,3,2022,84,120.00611111111112
0.175979,3,2022,84,0.0
99.995649,3,2022,89,119.98555555555556
99.993956,3,2022,89,0.0
99.998063,3,2022,89,0.0
99.999517,3,2022,89,0.0
99.782097,4,2022,94,120.00055555555556
99.782294,4,2022,94,0.0
99.771178,4,2022,94,0.0
99.966204,4,2022,94,0.0
0.065096,4,2022,99,119.99944444444444
0.067024,4,2022,99,0.0
0.156333,4,2022,99,0.0
0.157389,4,2022,99,0.0
3.098497,4,2022,104,120.00055555555556
0.165647,4,2022,104,0.0
3.035435,4,2022,104,0.0
0.162775,4,2022,104,0.0
41.691777,4,2022,109,119.99944444444444
70.782393,4,2022,109,0.0
70.790136,4,2022,109,0.0
41.64789,4,2022,109,0.0
91.538173,4,2022,114,120.00333333333332
99.896693,4,2022,114,0.0
99.993604,4,2022,114,0.0
91.536188,4,2022,114,0.0
99.99817,5,2022,124,239.99722222222223
99.998105,5,2022,124,0.0
99.8384,5,2022,124,0.0
99.836379,5,2022,124,0.0
38.797006,5,2022,129,119.99944444444444
2.103755,5,2022,129,0.0
38.79858,5,2022,129,0.0
2.10563,5,2022,129,0.0
1.238463,5,2022,134,120.00055555555556
1.240859,5,2022,134,0.0
2.324015,5,2022,134,0.0
2.327548,5,2022,134,0.0
0.929108,5,2022,139,119.99944444444444
0.01635,5,2022,139,0.0
100.0,5,2022,144,120.00333333333332
99.999946,5,2022,144,0.0
57.448328,5,2022,149,119.99666666666668
57.479405,5,2022,149,0.0
35.293326,5,2022,149,0.0
35.316455,5,2022,149,0.0
89.566803,6,2022,154,120.00333333333332
72.162598,6,2022,154,0.0
100.0,6,2022,159,119.99666666666668
100.0,6,2022,159,0.0
0.00853,6,2022,164,120.00333333333332
0.516554,6,2022,164,0.0
5.265387,6,2022,169,119.99666666666668
5.281509,6,2022,169,0.0
19.256373,6,2022,169,0.0
19.257215,6,2022,169,0.0
0.530217,6,2022,174,120.00333333333332
5.785018,6,2022,174,0.0
42.710838,6,2022,179,119.99944444444444
42.734209,6,2022,179,0.0
22.131538,6,2022,179,0.0
22.114256,6,2022,179,0.0
12.257571,7,2022,184,120.00055555555556
9.395006,7,2022,184,0.0
20.728424,7,2022,189,119.99944444444444
55.031812,7,2022,189,0.0
43.603933,7,2022,194,120.00055555555556
43.685558,7,2022,194,0.0
0.181992,7,2022,194,0.0
0.17955,7,2022,194,0.0
0.451255,7,2022,199,119.99944444444444
0.455836,7,2022,199,0.0
0.348041,7,2022,199,0.0
0.346353,7,2022,199,0.0
10.330248,7,2022,204,120.00055555555556
31.504092,7,2022,204,0.0
72.781891,7,2022,209,119.99944444444444
72.817463,7,2022,209,0.0
87.387377,7,2022,209,0.0
87.398052,7,2022,209,0.0
0.301394,8,2022,214,120.00055555555556
0.300388,8,2022,214,0.0
0.508081,8,2022,214,0.0
0.508293,8,2022,214,0.0
79.659045,8,2022,219,119.99666666666668
79.674506,8,2022,219,0.0
83.031082,8,2022,219,0.0
83.031148,8,2022,219,0.0
16.18237,8,2022,224,120.00333333333332
16.16845,8,2022,224,0.0
21.000163,8,2022,224,0.0
20.974803,8,2022,224,0.0
99.984568,8,2022,229,119.99666666666668
99.898303,8,2022,229,0.0
99.899119,8,2022,229,0.0
99.982995,8,2022,229,0.0
46.984544,8,2022,234,120.00333333333332
64.919341,8,2022,234,0.0
53.96964,8,2022,239,119.99666666666668
54.017317,8,2022,239,0.0
25.288352,8,2022,239,0.0
25.302848,8,2022,239,0.0
99.862194,9,2022,244,120.00333333333332
99.991798,9,2022,244,0.0
2.837837,9,2022,249,119.99666666666668
1.803869,9,2022,249,0.0
25.03984,9,2022,254,120.00611111111112
29.463354,9,2022,254,0.0
29.470021,9,2022,254,0.0
25.0395,9,2022,254,0.0
6.198241,9,2022,259,119.99388888888888
9.125473,9,2022,259,0.0
6.191735,9,2022,259,0.0
9.106545,9,2022,259,0.0
4.883913,9,2022,264,120.02555555555556
